title,author,rating,average_goodreads_rating,original_publication_year,number_of_pages,path
Doctor Strange: The Oath,Brian K. Vaughan,3.0,3.97,2007,120,data/goodreads/clean/dion_goodreads_library_export.csv
Batman: The Killing Joke,Alan Moore,3.0,4.36,1988,50,data/goodreads/clean/dion_goodreads_library_export.csv
Batman: Hush,Jeph Loeb,4.0,4.27,2002,320,data/goodreads/clean/dion_goodreads_library_export.csv
"Batman, Volume 1: The Court of Owls",Scott Snyder,5.0,4.34,2012,176,data/goodreads/clean/dion_goodreads_library_export.csv
"Saga, Volume 5",Brian K. Vaughan,4.0,4.4,2015,152,data/goodreads/clean/dion_goodreads_library_export.csv
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,3.0,4.08,2006,472,data/goodreads/clean/dion_goodreads_library_export.csv
"Annihilation (Southern Reach, #1)",Jeff VanderMeer,3.0,3.79,2014,195,data/goodreads/clean/dion_goodreads_library_export.csv
Smart about Cities—Visualizing the Challenge for 21st Century Urbanism,Maarten Hajer,3.0,3.62,2014,184,data/goodreads/clean/dion_goodreads_library_export.csv
Kafka on the Shore,Haruki Murakami,5.0,4.12,2002,467,data/goodreads/clean/dion_goodreads_library_export.csv
Zendegi,Greg Egan,3.0,3.47,2010,288,data/goodreads/clean/dion_goodreads_library_export.csv
"The Player of Games (Culture, #2)",Iain M. Banks,4.0,4.28,1988,293,data/goodreads/clean/dion_goodreads_library_export.csv
Flowers for Algernon,Daniel Keyes,5.0,4.23,1966,311,data/goodreads/clean/dion_goodreads_library_export.csv
Fahrenheit 451,Ray Bradbury,4.0,3.97,1953,227,data/goodreads/clean/dion_goodreads_library_export.csv
Hunter's Run,George R.R. Martin,2.0,3.7,2007,320,data/goodreads/clean/dion_goodreads_library_export.csv
"The Fall of Hyperion (Hyperion Cantos, #2)",Dan Simmons,3.0,4.24,1990,517,data/goodreads/clean/dion_goodreads_library_export.csv
"The Caves of Steel (Robot, #1)",Isaac Asimov,3.0,4.19,1953,206,data/goodreads/clean/dion_goodreads_library_export.csv
The Passion of New Eve,Angela Carter,3.0,3.67,1977,187,data/goodreads/clean/dion_goodreads_library_export.csv
Ubik,Philip K. Dick,4.0,4.11,1969,288,data/goodreads/clean/dion_goodreads_library_export.csv
"The Fifth Elephant (Discworld, #24; City Watch, #5)",Terry Pratchett,3.0,4.31,1999,464,data/goodreads/clean/dion_goodreads_library_export.csv
Under the Skin,Michel Faber,5.0,3.75,2000,296,data/goodreads/clean/dion_goodreads_library_export.csv
"Second Foundation (Foundation, #3)",Isaac Asimov,3.0,4.27,1953,256,data/goodreads/clean/dion_goodreads_library_export.csv
"Foundation and Empire (Foundation, #2)",Isaac Asimov,3.0,4.22,1952,256,data/goodreads/clean/dion_goodreads_library_export.csv
"Wool Omnibus (Silo, #1)",Hugh Howey,3.0,4.2,2012,509,data/goodreads/clean/dion_goodreads_library_export.csv
"Old Man's War (Old Man's War, #1)",John Scalzi,3.0,4.23,2005,318,data/goodreads/clean/dion_goodreads_library_export.csv
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,3.0,4.22,1979,216,data/goodreads/clean/dion_goodreads_library_export.csv
Tegen verkiezingen,David Van Reybrouck,4.0,4.2,2013,128,data/goodreads/clean/dion_goodreads_library_export.csv
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.0,4.1,1969,275,data/goodreads/clean/dion_goodreads_library_export.csv
The City & the City,China Miéville,3.0,3.9,2009,312,data/goodreads/clean/dion_goodreads_library_export.csv
The Road,Cormac McCarthy,4.0,4.0,2006,241,data/goodreads/clean/dion_goodreads_library_export.csv
"Dune (Dune, #1)",Frank Herbert,4.0,4.28,1965,604,data/goodreads/clean/dion_goodreads_library_export.csv
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.0,4.23,2011,480,data/goodreads/clean/dion_goodreads_library_export.csv
"The Circle (The Circle, #1)",Dave Eggers,2.0,3.43,2013,493,data/goodreads/clean/dion_goodreads_library_export.csv
1984,George Orwell,5.0,4.2,1949,328,data/goodreads/clean/dion_goodreads_library_export.csv
The Martian,Andy Weir,2.0,4.42,2011,384,data/goodreads/clean/dion_goodreads_library_export.csv
Starship Troopers,Robert A. Heinlein,4.0,4.01,1959,264,data/goodreads/clean/dion_goodreads_library_export.csv
"The Forever War (The Forever War, #1)",Joe Haldeman,5.0,4.14,1974,278,data/goodreads/clean/dion_goodreads_library_export.csv
Snow Crash,Neal Stephenson,5.0,4.01,1992,438,data/goodreads/clean/dion_goodreads_library_export.csv
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.0,4.27,1989,500,data/goodreads/clean/dion_goodreads_library_export.csv
"Foundation (Foundation, #1)",Isaac Asimov,4.0,4.17,1951,244,data/goodreads/clean/dion_goodreads_library_export.csv
Into the Heart of Borneo,Redmond O'Hanlon,3.0,4.01,1984,207,data/goodreads/clean/dion_goodreads_library_export.csv
"DMZ, Vol. 1: On the Ground",Brian Wood,4.0,3.89,2005,126,data/goodreads/clean/dion_goodreads_library_export.csv
"Copperhead, Vol. 1: A New Sheriff in Town",Jay Faerber,3.0,3.85,2015,128,data/goodreads/clean/dion_goodreads_library_export.csv
MPH,Mark Millar,2.0,3.54,2015,136,data/goodreads/clean/dion_goodreads_library_export.csv
"Y: The Last Man, Vol. 2: Cycles",Brian K. Vaughan,4.0,4.21,2003,128,data/goodreads/clean/dion_goodreads_library_export.csv
"Y: The Last Man, Vol. 1: Unmanned",Brian K. Vaughan,4.0,4.08,2003,130,data/goodreads/clean/dion_goodreads_library_export.csv
"B.P.R.D. Hell on Earth, Vol. 2: Gods and Monsters",Mike Mignola,3.0,3.96,2012,144,data/goodreads/clean/dion_goodreads_library_export.csv
"Abe Sapien, Vol. 2: The Devil Does Not Jest and Other Stories",Mike Mignola,3.0,3.91,2012,144,data/goodreads/clean/dion_goodreads_library_export.csv
"Manifest Destiny, Vol. 2: Amphibia & Insecta",Chris Dingess,3.0,4.03,2014,128,data/goodreads/clean/dion_goodreads_library_export.csv
"Manifest Destiny, Vol. 1: Flora & Fauna",Chris Dingess,3.0,3.9,2014,128,data/goodreads/clean/dion_goodreads_library_export.csv
"Star Wars: Legacy, Volume 4: Alliance",John Ostrander,3.0,3.94,2004,104,data/goodreads/clean/dion_goodreads_library_export.csv
"Peter Panzerfaust, Vol. 1: The Great Escape",Kurtis J. Wiebe,2.0,3.79,2012,128,data/goodreads/clean/dion_goodreads_library_export.csv
"Saga, Volume 4",Brian K. Vaughan,5.0,4.41,2014,144,data/goodreads/clean/dion_goodreads_library_export.csv
"Saga, Volume 3",Brian K. Vaughan,5.0,4.48,2014,144,data/goodreads/clean/dion_goodreads_library_export.csv
"Saga, Volume 2",Brian K. Vaughan,5.0,4.49,2013,144,data/goodreads/clean/dion_goodreads_library_export.csv
The Drowned World,J.G. Ballard,1.0,3.48,1962,198,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Vochtige streken,Charlotte Roche,3.0,2.86,2008,215,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Black Science, Vol. 5: True Atonement",Rick Remender,3.0,4.12,2016,128,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Black Science, Vol. 7: Extinction is the Rule",Rick Remender,3.0,4.08,2018,128,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Black Science, Vol. 6: Forbidden Realms and Hidden Truths",Rick Remender,3.0,4.11,2017,136,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Black Science, Vol. 4: Godworld",Rick Remender,3.0,4.1,2016,128,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Black Science, Vol. 3: Vanishing Point",Rick Remender,3.0,3.94,2015,128,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Black Science, Vol. 2: Welcome, Nowhere",Rick Remender,3.0,3.82,2015,128,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Martian,Andy Weir,3.0,4.42,2011,384,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Player Piano,Kurt Vonnegut Jr.,3.0,3.9,1952,341,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Schuld en boete,Fyodor Dostoevsky,5.0,4.27,1866,286,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Pushing Ice,Alastair Reynolds,3.0,4.07,2005,458,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,4.0,4.12,1973,243,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Armor,John Steakley,3.0,4.11,1984,426,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Heart of a Dog,Mikhail Bulgakov,4.0,4.1,1925,123,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Windup Girl,Paolo Bacigalupi,1.0,3.75,2009,359,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Het proces,Franz Kafka,5.0,3.95,1925,295,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"The Player of Games (Culture, #2)",Iain M. Banks,4.0,4.28,1988,293,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Dune (Dune, #1)",Frank Herbert,4.0,4.28,1965,604,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
De helaasheid der dingen,Dimitri Verhulst,4.0,3.8,2006,207,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Ivanov,Hanna Bervoets,3.0,3.62,2016,320,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
IJstijd,Maartje Wortel,3.0,3.31,2014,238,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
HHhH,Laurent Binet,4.0,4.07,2010,442,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Klont,Maxim Februari,3.0,3.02,2017,270,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
De drinker,Hans Fallada,4.0,4.09,1950,318,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Het strand,Alex Garland,3.0,3.97,1996,354,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Island of Dr. Moreau,H.G. Wells,3.0,3.73,1896,160,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Vader op komst,Willem Bisseling,3.0,3.78,2019,256,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.0,4.01,2003,389,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
V for Vendetta,Alan Moore,4.0,4.26,1990,296,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Spoetnikliefde,Haruki Murakami,3.0,3.83,1999,222,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Concept M,Aafke Romeijn,3.0,3.45,2018,253,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Galápagos,Kurt Vonnegut Jr.,3.0,3.87,1985,324,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Flowers for Algernon,Daniel Keyes,4.0,4.22,1966,311,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Tijl (Dutch Edition),Daniel Kehlmann,4.0,3.94,2017,293,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Mr. Cables,Ronald Malfi,4.0,3.99,,99,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Het personeel,Olga Ravn,4.0,3.67,2018,135,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Annihilation (Southern Reach, #1)",Jeff VanderMeer,4.0,3.77,2014,195,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Blindsight (Firefall, #1)",Peter Watts,5.0,4.01,2006,384,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Het zwaard van de Radch (Imperial Radch, #2)",Ann Leckie,2.0,4.08,2014,281,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Ancillary Mercy (Imperial Radch, #3)",Ann Leckie,2.0,4.22,2015,330,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Vegetarian,Han Kang,4.0,3.57,2007,188,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
His Master's Voice,Stanisław Lem,4.0,4.09,1968,199,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The City & the City,China Miéville,4.0,3.9,2009,312,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Moravagine,Blaise Cendrars,2.0,3.82,1926,229,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Ik kom hier nog op terug,Rob van Essen,4.0,3.77,2023,398,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Bewilderment,Richard Powers,5.0,3.91,2021,278,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Tender Is the Flesh,Agustina Bazterrica,5.0,3.78,2017,209,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Siddharta,Hermann Hesse,3.0,4.07,1922,152,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Price of Salt,Patricia Highsmith,1.0,4.02,1952,262,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Snow Crash,Neal Stephenson,3.0,4.02,1992,559,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Embassytown,China Miéville,3.0,3.89,2011,345,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Babel,R.F. Kuang,3.0,4.18,2022,544,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Kroniek van een aangekondigde dood,Gabriel García Márquez,3.0,3.97,1981,114,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
There Is No Antimemetics Division,qntm,4.0,4.25,2020,220,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
De ontdekking van Urk,Matthias M.R. Declercq,4.0,3.93,2020,326,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Oorlog met de salamanders,Karel Čapek,4.0,4.17,1936,286,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
In schaamte kun je niet wonen,Cody Hochstenbach,4.0,4.11,,100,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Roadside Picnic,Arkady Strugatsky,3.0,4.14,1972,145,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Children of Ruin (Children of Time, #2)",Adrian Tchaikovsky,3.0,4.06,2019,597,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,3.0,4.3,2015,608,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
A Visit from the Goon Squad,Jennifer Egan,3.0,3.7,2010,274,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Childhood’s End,Arthur C. Clarke,4.0,4.12,1953,224,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Lapvona,Ottessa Moshfegh,4.0,3.53,2022,313,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Neuromancer (Sprawl, #1)",William Gibson,3.0,3.89,1984,288,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
De linkerhand van het duister,Ursula K. Le Guin,4.0,4.1,1969,284,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Dolores Dolly Poppedijn,Thomas Olde Heuvelt,3.0,2.93,2019,93,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
If on a Winter’s Night a Traveler,Italo Calvino,4.0,4.03,1979,260,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,3.0,3.99,2013,386,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Ubik,Philip K. Dick,3.0,4.11,1969,288,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Look to Windward (Culture, #7)",Iain M. Banks,4.0,4.22,2000,496,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Station Eleven,Emily St. John Mandel,3.0,4.07,2014,333,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Ik ben er niet,Lize Spit,4.0,4.1,2020,576,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Affirmation,Christopher Priest,3.0,3.9,1981,213,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Vlucht naar de top,Richard Bachman,1.0,3.9,1982,199,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Hex,Thomas Olde Heuvelt,4.0,3.73,2013,384,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Tortilla Flat,John Steinbeck,2.0,3.83,1935,256,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Passagiers / Achterblijvers,Thomas Heerma van Voss,4.0,3.9,2022,224,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
De Mitsukoshi Troostbaby Company,Auke Hulst,4.0,4.07,2021,608,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Aleksandra,Lisa Weeda,3.0,3.55,2021,351,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Upgrade Soul,Ezra Claytan Daniels,4.0,4.1,2018,272,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa",Adam Hochschild,4.0,4.18,1998,442,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Zero K,Don DeLillo,3.0,3.2,2016,274,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Remains of the Day,Kazuo Ishiguro,4.0,4.14,1989,258,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Weg met Eddy Bellegueule,Édouard Louis,3.0,3.93,2014,202,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Waanzin aan het einde van de aarde,Julian Sancton,2.0,4.27,2021,473,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Het kaartenhuis,Mark Z. Danielewski,5.0,4.09,2000,713,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Bonita Avenue,Peter Buwalda,4.0,3.74,2010,536,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Wonton Soup: Big Bowl Edition,James Stokoe,3.0,3.91,2014,392,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Lost Weekend,Charles Jackson,5.0,4.09,1944,244,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Life & Times of Michael K,J.M. Coetzee,4.0,3.86,1983,192,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Grand Hotel Europa,Ilja Leonard Pfeijffer,4.0,4.04,2018,547,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
De goede zoon,Rob van Essen,4.0,3.35,2018,384,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Het ijs,Anna Kavan,4.0,3.66,1967,208,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"My Favorite Thing Is Monsters, Vol. 1 (My Favorite Thing Is Monsters, #1)",Emil Ferris,3.0,4.24,2017,416,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Mijn lieve gunsteling,Marieke Lucas Rijneveld,5.0,3.87,2020,368,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
De avond is ongemak,Marieke Lucas Rijneveld,4.0,3.45,2018,260,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Radetzkymars (Von Trotta Family, #1)",Joseph Roth,4.0,4.1,1932,384,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Michael Kohlhaas,Heinrich von Kleist,4.0,3.54,1810,112,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Moedervlekken,Arnon Grunberg,4.0,3.44,2016,400,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Fisherman,John  Langan,3.0,3.9,2016,266,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Algebraist,Iain M. Banks,3.0,4.03,2004,434,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Beschavingen,Laurent Binet,3.0,3.67,2019,368,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
La Superba,Ilja Leonard Pfeijffer,4.0,3.74,2013,348,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"The Sparrow (The Sparrow, #1)",Mary Doria Russell,4.0,4.14,1996,419,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Solaris,Stanisław Lem,4.0,3.99,1961,204,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
De kat,Takashi Hiraide,4.0,3.55,2001,160,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Het smelt,Lize Spit,5.0,3.67,2016,480,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Black Science #1 (Black Science, #1)",Rick Remender,3.0,3.88,,40,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Visser,Rob van Essen,4.0,3.51,2008,188,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Excession (Culture, #5)",Iain M. Banks,4.0,4.2,1996,500,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Book of Strange New Things,Michel Faber,4.0,3.66,2014,500,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Fall,Albert Camus,4.0,4.04,1956,147,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Homo Deus: A History of Tomorrow,Yuval Noah Harari,1.0,4.2,2015,450,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
De pest,Albert Camus,5.0,4.02,1947,277,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Never Let Me Go,Kazuo Ishiguro,3.0,3.85,2005,288,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,3.0,4.25,1974,387,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Post Office,Charles Bukowski,4.0,3.93,1971,208,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Stoner,John  Williams,4.0,4.34,1965,292,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Lagoon,Nnedi Okorafor,3.0,3.63,2014,306,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,3.0,4.27,1989,500,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,1.0,4.14,1992,613,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Butcher's Crossing,John  Williams,3.0,4.18,1960,274,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,3.0,4.08,2006,472,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,4.0,4.04,2002,526,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Zendegi,Greg Egan,3.0,3.47,2010,278,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Fahrenheit 451,Ray Bradbury,4.0,3.96,1953,227,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Hunter's Run,George R.R. Martin,2.0,3.68,2007,320,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
The Passion of New Eve,Angela Carter,3.0,3.67,1977,187,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,3.0,4.42,1953,679,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Starship Troopers,Robert A. Heinlein,3.0,4.01,1959,264,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Do Androids Dream of Electric Sheep?,Philip K. Dick,3.0,4.09,1968,244,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Brave New World,Aldous Huxley,4.0,3.99,1932,268,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
Accelerando,Charles Stross,4.0,3.87,2005,415,data/goodreads/clean/goodreads_library_export-PHT_clean.csv
"Echo of Worlds (Pandominion, #2)",M.R. Carey,3.0,4.34,2024,496,data/goodreads/clean/goodreads_library_export-thirsa.csv
Galápagos,Kurt Vonnegut Jr.,3.0,3.87,1985,324,data/goodreads/clean/goodreads_library_export-thirsa.csv
Honderd jaar eenzaamheid,Gabriel García Márquez,5.0,4.12,1967,428,data/goodreads/clean/goodreads_library_export-thirsa.csv
"The Book of Life (All Souls, #3)",Deborah Harkness,3.0,4.21,2014,561,data/goodreads/clean/goodreads_library_export-thirsa.csv
"The Gunslinger (The Dark Tower, #1)",Stephen        King,3.0,3.92,1982,231,data/goodreads/clean/goodreads_library_export-thirsa.csv
De beesten,Gijs Wilbrink,3.0,4.05,2022,394,data/goodreads/clean/goodreads_library_export-thirsa.csv
Concept M,Aafke Romeijn,3.0,3.45,2018,253,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Infinity Gate (Pandominion, #1)",M.R. Carey,4.0,4.16,2023,499,data/goodreads/clean/goodreads_library_export-thirsa.csv
I Who Have Never Known Men,Jacqueline Harpman,4.0,4.22,1995,208,data/goodreads/clean/goodreads_library_export-thirsa.csv
The City & the City,China Miéville,3.0,3.9,2009,312,data/goodreads/clean/goodreads_library_export-thirsa.csv
Mijn jaar van rust en kalmte,Ottessa Moshfegh,4.0,3.63,2018,240,data/goodreads/clean/goodreads_library_export-thirsa.csv
De fabriek,Hiroko Oyamada,2.0,3.34,2010,176,data/goodreads/clean/goodreads_library_export-thirsa.csv
De haas met de amberkleurige ogen,Edmund de Waal,4.0,3.95,2010,320,data/goodreads/clean/goodreads_library_export-thirsa.csv
Babel,R.F. Kuang,4.0,4.17,2022,544,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Yellow Wallpaper,Charlotte Perkins Gilman,4.0,4.08,1892,63,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Turn of the Screw,Henry James,3.0,3.39,1898,121,data/goodreads/clean/goodreads_library_export-thirsa.csv
Roadside Picnic,Arkady Strugatsky,4.0,4.14,1972,145,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Stranger,Albert Camus,3.0,4.03,1942,123,data/goodreads/clean/goodreads_library_export-thirsa.csv
Als je het licht niet kunt zien,Anthony Doerr,3.0,4.31,2014,543,data/goodreads/clean/goodreads_library_export-thirsa.csv
There Is No Antimemetics Division,qntm,4.0,4.24,2020,220,data/goodreads/clean/goodreads_library_export-thirsa.csv
Van vrouwen en zout,Gabriela  Garcia,3.0,3.69,2021,256,data/goodreads/clean/goodreads_library_export-thirsa.csv
Schoonheid is een vloek (Dutch Edition),Eka Kurniawan,3.0,4.05,2002,480,data/goodreads/clean/goodreads_library_export-thirsa.csv
Bewilderment,Richard Powers,4.0,3.91,2021,278,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het lied van ooievaar en dromedaris,Anjet Daanje,4.0,4.37,2022,655,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het licht,Torgny Lindgren,3.0,3.98,1987,293,data/goodreads/clean/goodreads_library_export-thirsa.csv
De bergen zingen,Nguyễn Phan Quế Mai,3.0,4.32,2020,424,data/goodreads/clean/goodreads_library_export-thirsa.csv
Lapvona,Ottessa Moshfegh,4.0,3.53,2022,313,data/goodreads/clean/goodreads_library_export-thirsa.csv
Kroniek van het vermoorde huis,Lúcio Cardoso,3.0,4.27,1959,680,data/goodreads/clean/goodreads_library_export-thirsa.csv
Tussentijds,Peter Zantingh,2.0,3.83,2022,175,data/goodreads/clean/goodreads_library_export-thirsa.csv
Dingen die we verloren in het vuur,Mariana Enríquez,4.0,4.06,2016,268,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Wool Omnibus (Silo, #1)",Hugh Howey,2.0,4.22,2012,509,data/goodreads/clean/goodreads_library_export-thirsa.csv
"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,4.0,4.18,2014,518,data/goodreads/clean/goodreads_library_export-thirsa.csv
De jacht op het snoekje,Juhani Karila,3.0,4.35,2019,325,data/goodreads/clean/goodreads_library_export-thirsa.csv
Station Eleven,Emily St. John Mandel,3.0,4.07,2014,333,data/goodreads/clean/goodreads_library_export-thirsa.csv
