Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",0,3.95,Harper Press,Paperback,170,2005,-400,,2018/10/18,to-read,to-read (#119),to-read,,,,0,0
9555,The Elephant Vanishes,Haruki Murakami,"Murakami, Haruki","Jay Rubin, Alfred Birnbaum","=""""","=""""",0,3.83,Vintage,Paperback,327,1994,1993,,2016/02/15,to-read,to-read (#118),to-read,,,,0,0
234225,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""0340839937""","=""9780340839935""",0,4.28,Hodder,Paperback,604,2006,1965,,2017/09/11,to-read,to-read (#117),to-read,,,,0,0
1041393,I.M.: Ischa Meijer. In Margine. In Memoriam,Connie Palmen,"Palmen, Connie",Hanni Ehlers,"=""325723287X""","=""9783257232875""",4,4.00,Diogenes,Paperback,400,2001,1998,,2018/07/12,,,read,,,,1,0
50618,The Book of Illusions,Paul Auster,"Auster, Paul",,"=""0312990960""","=""9780312990961""",3,3.90,Picador USA,Paperback,288,2003,2002,,2018/06/14,,,read,,,,1,0
1898,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,"Krakauer, Jon",,"=""""","=""""",0,4.25,Anchor Books,Paperback,368,1999,1997,,2018/06/04,to-read,to-read (#116),to-read,,,,0,0
10357575,"1Q84 (1Q84, #1-3)",Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",0,3.96,Knopf,Hardcover,944,2011,2009,,2018/06/04,to-read,to-read (#115),to-read,,,,0,0
9664177,The Big Short: Inside the Doomsday Machine,Michael   Lewis,"Lewis, Michael",,"=""0141043539""","=""9780141043531""",0,4.30,Penguin,Paperback,284,2011,2010,,2018/06/04,to-read,to-read (#114),to-read,,,,0,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",4,4.20,Harper,Kindle Edition,450,2017,2015,,2018/05/01,,,read,,,,1,0
4352952,Het dertigersdilemma,Nienke Wijnants,"Wijnants, Nienke",,"=""903513270X""","=""9789035132702""",0,3.18,Uitgeverij Bert Bakker,Paperback,253,2008,2008,,2018/04/29,to-read,to-read (#113),to-read,,,,0,0
8414128,De vrije wil bestaat niet: over wie er echt de baas is in het brein,Victor Lamme,"Lamme, Victor",,"=""9035135393""","=""9789035135390""",0,3.84,Prometheus,Paperback,332,2010,2010,,2018/04/29,to-read,to-read (#112),to-read,,,,0,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",0,4.27,Del Rey,Hardcover,382,2014,2014,,2018/04/24,to-read,to-read (#111),to-read,,,,0,0
6512154,Zeitoun,Dave Eggers,"Eggers, Dave",,"=""1934781630""","=""9781934781630""",3,4.05,McSweeney's,Hardcover,342,2009,2009,,2018/01/21,,,read,,,,1,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",0,4.16,Ecco,Hardcover,392,2015,2015,,2015/12/18,to-read,to-read (#70),to-read,,,,0,0
