index,date,title,author,blame,location,title_right,author_right,original_publication_year,average_goodreads_rating,number_of_pages,Robert,Peter,Thirsa,Koen_v_W,Koen_M,Thomas,average_bookclub_rating
1,,The Road,Cormac McCarthy,gezamenlijk,?,The Road,Cormac McCarthy,2006,3.99,,5.0,,4.0,,,,4.5
4,2015-04-14,"Neuromancer (Sprawl, #1)",William Gibson,gezamenlijk,?,"Neuromancer (Sprawl, #1)",William Gibson,1984,3.89,,3.0,3.0,,,,,3.0
15,2016-10-12,Brave New World,Aldous Huxley,?,Van Zeggelenstraat 71,Brave New World,Aldous Huxley,1932,3.99,,5.0,4.0,,4.0,,4.0,4.25
7,2015-09-14,1984,George Orwell,Thirsa & Koen,?,1984,George Orwell,1949,4.1925,,5.0,,4.0,5.0,,5.0,4.75
72,2024-11-08,The Vegetarian,Han Kang,Koen,De Doelen,The Vegetarian,Han Kang,2007,3.605,,4.0,4.0,,4.0,2.0,5.0,4.5
64,2023-09-03,Bewilderment,Richard Powers,Robert,Café Bruxelles,Bewilderment,Richard Powers,2021,3.9125,,,5.0,4.0,4.0,,3.0,4.0
52,2021-08-13,Het ijs,Anna Kavan,Allen (stemmen),Boekenclub Weekend,Het ijs,Anna Kavan,1967,3.665,,,4.0,,2.0,,,3.0
12,2016-05-10,"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,Thirsa & Koen,?,"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,1987,4.37,,,,4.0,,,4.0,4.0
2,2014-11-26,"Ready Player One (Ready Player One, #1)",Ernest Cline,gezamenlijk,Koen - Prinsengracht 241,"Ready Player One (Ready Player One, #1)",Ernest Cline,2011,4.23,,,,4.0,4.0,,,4.0
71,2024-09-11,Galapagos,Kurt Vonnegut,Dion,De Doelen,Galapagos,Kurt Vonnegut Jr.,1985,3.87,,3.0,3.0,,3.0,4.0,,3.5
28,2018-06-06,"1Q84 Book 1 (1Q84, #1)",Haruki Murakami,David,?,"1Q84 Book 1 (1Q84, #1)",Haruki Murakami,2009,3.96,,,,,4.0,,,4.0
18,2017-03-14,Watchmen,Alan Moore & Dave Gibbons,Laurynas,?,Watchmen,Alan Moore,1987,4.38,,,,,4.0,,,4.0
29,2018-07-03,Cat's Cradle,Kurt Vonnegut,Thirsa & Koen,?,Cat's Cradle,Kurt Vonnegut Jr.,1963,4.15,,,,,4.0,,,4.0
16,2016-11-30,The Heart of a Dog,Mikhail Bulgakov,Bram,Cafe Kostverloren,The Heart of a Dog,bulgakov-mikhail,1925,4.1,,,,,3.0,,,3.0
8,2015-11-16,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,Laurynas,De Doelen,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979,4.225,,,,,3.0,,4.0,3.5
74,2025-05-21,Lord of Light,Roger Zelazny,Laurynas,De Doelen,Lord of Light,Roger Zelazny,1967,4.05,,2.0,2.0,,,2.0,2.0,2.0
